노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
501,한남운수대학동차고지 - 한남운수대학동차고지,1,한남운수대학동차고지,5,6,3,4,8,7,11,12,7,7,11,7,7,7,10,3,2,1,7,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,2,서울산업정보학교.삼성교,6,9,3,8,11,8,14,18,10,9,13,14,11,14,12,5,3,4,2,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,3,관악산입구.관악아트홀.중앙도서관,5,0,3,9,10,3,15,20,13,10,14,10,12,18,11,0,3,1,8,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,4,서울대학교,0,0,0,4,11,8,19,19,18,15,16,15,19,13,5,3,5,4,5,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,5,서울대학교치과병원.동물병원,0,0,0,0,9,0,10,0,4,12,10,13,0,14,6,6,0,0,0,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,6,서울여상.서울문영여중고앞,4,6,4,0,11,7,12,0,14,13,13,6,18,10,3,4,0,0,6,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,7,관악구청,6,7,6,6,13,10,18,22,18,17,13,13,19,16,14,6,6,6,9,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,8,봉천사거리.봉천중앙시장,6,10,10,5,14,21,24,20,17,19,20,19,21,21,17,11,10,8,13,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,9,봉원중학교.행운동우성아파트,7,6,11,8,16,23,30,19,19,26,25,25,23,20,18,12,10,7,3,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,10,관악푸르지오아파트,8,10,13,9,21,27,32,15,20,29,25,28,25,13,14,14,8,4,13,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,11,봉천고개.관악현대아파트,8,10,12,12,24,33,32,16,24,32,25,29,28,22,21,12,7,7,12,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,12,숭실대입구역,9,10,11,12,27,42,32,18,32,31,25,28,27,21,21,10,6,6,6,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,13,상도동중앙하이츠빌.상도전통시장,10,9,13,15,32,47,38,26,35,36,28,27,29,31,20,11,8,6,11,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,14,상도역,0,11,14,17,32,47,41,27,37,40,29,33,27,35,23,13,6,2,5,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,15,상도터널상도동,11,11,16,20,34,47,46,34,38,42,36,42,31,44,26,13,11,7,8,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,16,상도터널노량진동,10,9,16,20,26,45,46,34,38,44,38,39,30,43,23,14,9,8,9,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,17,노들섬,0,8,11,7,33,39,37,26,36,40,37,32,29,41,20,13,5,7,0,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,18,한강대교북단.LG유플러스,9,12,10,18,27,35,41,30,31,35,31,33,30,39,22,16,10,9,8,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,19,신용산역,7,10,10,15,19,23,27,29,27,28,22,21,25,31,16,14,6,7,8,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,20,용산우체국,6,0,11,4,16,20,25,28,25,26,27,19,25,24,15,10,7,8,7,7,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,21,삼각지역,9,7,7,13,15,17,18,22,30,25,22,16,22,20,13,9,7,7,4,5,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,22,숙대입구역,11,8,11,11,16,18,17,13,27,22,21,13,20,19,12,7,6,4,3,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,23,갈월동,0,9,8,10,14,14,15,10,17,20,15,10,19,18,14,1,1,3,0,4,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,24,서울역버스환승센터.강우규의거터,0,6,4,4,8,11,9,8,18,16,11,14,18,15,13,6,4,3,0,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,25,시청앞,0,4,3,2,5,7,7,12,12,13,9,12,15,13,13,5,5,6,1,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,26,서울신문사,0,2,2,2,4,4,6,7,9,10,4,8,11,7,12,10,5,7,3,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,27,종로1가,0,1,1,2,6,6,5,5,9,9,9,7,8,6,9,11,5,8,2,1,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,28,종로2가,0,3,2,1,7,4,4,3,6,3,8,7,8,7,5,12,4,5,4,1,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,29,종로2가.삼일교,0,4,0,1,6,4,9,4,8,7,10,7,12,13,8,11,3,8,10,2,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,30,을지로2가.기업은행본점.서울노동청,0,5,0,0,5,4,12,6,8,10,17,14,16,14,12,8,7,9,12,5,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,31,롯데백화점,0,2,1,2,2,0,10,7,13,12,10,21,15,16,16,12,11,9,13,6,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,32,북창동.남대문시장,0,5,1,2,7,1,5,8,8,4,7,24,15,16,18,13,8,10,5,7,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,33,숭례문(가상),0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,34,숭례문,0,0,1,0,0,2,12,0,3,6,8,24,17,12,20,5,10,11,13,5,0,0,0,0,
501,한남운수대학동차고지 - 한남운수대학동차고지,35,서울역버스환승센터,0,6,1,2,4,4,14,7,19,16,11,26,15,19,22,14,12,19,19,9,0,0,0,0,
